timestamp,id,name,scores
2026-03-11T08:00:00Z,1,item-001,"[1,2,3]"
2026-03-11T08:01:00Z,2,item-002,"[2,3,4]"
2026-03-11T08:02:00Z,3,item-003,"[3,4,5]"
2026-03-11T08:03:00Z,4,item-004,"[4,5,6]"
2026-03-11T08:04:00Z,5,item-005,
2026-03-11T08:05:00Z,6,item-006,"[1,2,3]"
2026-03-11T08:06:00Z,7,item-007,"[2,3,4]"
2026-03-11T08:07:00Z,8,item-008,"[3,4,5]"
2026-03-11T08:08:00Z,9,item-009,"[4,5,6]"
2026-03-11T08:09:00Z,10,item-010,
2026-03-11T08:10:00Z,11,item-011,"[1,2,3]"
2026-03-11T08:11:00Z,12,item-012,"[2,3,4]"
2026-03-11T08:12:00Z,13,item-013,"[3,4,5]"
2026-03-11T08:13:00Z,14,item-014,"[4,5,6]"
2026-03-11T08:14:00Z,15,item-015,
2026-03-11T08:15:00Z,16,item-016,"[1,2,3]"
2026-03-11T08:16:00Z,17,item-017,"[2,3,4]"
2026-03-11T08:17:00Z,18,item-018,"[3,4,5]"
2026-03-11T08:18:00Z,19,item-019,"[4,5,6]"
2026-03-11T08:19:00Z,20,item-020,
2026-03-11T08:20:00Z,21,item-021,"[1,2,3]"
2026-03-11T08:21:00Z,22,item-022,"[2,3,4]"
2026-03-11T08:22:00Z,23,item-023,"[3,4,5]"
2026-03-11T08:23:00Z,24,item-024,"[4,5,6]"
2026-03-11T08:24:00Z,25,item-025,
2026-03-11T08:25:00Z,26,item-026,"[1,2,3]"
2026-03-11T08:26:00Z,27,item-027,"[2,3,4]"
2026-03-11T08:27:00Z,28,item-028,"[3,4,5]"
2026-03-11T08:28:00Z,29,item-029,"[4,5,6]"
2026-03-11T08:29:00Z,30,item-030,
2026-03-11T08:30:00Z,31,item-031,"[1,2,3]"
2026-03-11T08:31:00Z,32,item-032,"[2,3,4]"
2026-03-11T08:32:00Z,33,item-033,"[3,4,5]"
2026-03-11T08:33:00Z,34,item-034,"[4,5,6]"
2026-03-11T08:34:00Z,35,item-035,
2026-03-11T08:35:00Z,36,item-036,"[1,2,3]"
2026-03-11T08:36:00Z,37,item-037,"[2,3,4]"
2026-03-11T08:37:00Z,38,item-038,"[3,4,5]"
2026-03-11T08:38:00Z,39,item-039,"[4,5,6]"
2026-03-11T08:39:00Z,40,item-040,
2026-03-11T08:40:00Z,41,item-041,"[1,2,3]"
2026-03-11T08:41:00Z,42,item-042,"[2,3,4]"
2026-03-11T08:42:00Z,43,item-043,"[3,4,5]"
2026-03-11T08:43:00Z,44,item-044,"[4,5,6]"
2026-03-11T08:44:00Z,45,item-045,
2026-03-11T08:45:00Z,46,item-046,"[1,2,3]"
2026-03-11T08:46:00Z,47,item-047,"[2,3,4]"
2026-03-11T08:47:00Z,48,item-048,"[3,4,5]"
2026-03-11T08:48:00Z,49,item-049,"[4,5,6]"
2026-03-11T08:49:00Z,50,item-050,
